ID,Age,Experience_Years,Gender,Salary,Position,Job_Role,Location
1,24,4,Male,673940,Junior,Software Engineer,Indore
2,37,12,Male,1264193,Manager,Software Engineer,Hyderabad
3,32,12,Female,1238252,Manager,Business Analyst,Gurgaon
4,28,8,Male,939265,Senior,Software Engineer,Chennai
5,25,8,Male,947774,Senior,DevOps Engineer,Hyderabad
6,38,12,Female,1263668,Manager,Marketing Executive,Gurgaon
7,24,5,Female,743811,Senior,DevOps Engineer,Bangalore
8,43,12,Female,1283698,Director,HR Specialist,Chennai
9,36,12,Male,1293260,Manager,Marketing Executive,Gurgaon
10,40,12,Male,1287825,Director,DevOps Engineer,Hyderabad
11,28,7,Male,887632,Senior,DevOps Engineer,Gurgaon
12,28,9,Female,1046719,Lead,DevOps Engineer,Indore
13,41,12,Female,1273954,Director,Software Engineer,Pune
14,38,12,Male,1282596,Manager,Business Analyst,Indore
15,21,3,Female,583350,Junior,Financial Analyst,Indore
16,25,4,Female,661536,Junior,Financial Analyst,Mumbai
17,41,12,Female,1293229,Director,DevOps Engineer,Pune
18,20,1,Male,454050,Intern,Business Analyst,Chennai
19,39,12,Female,1276936,Manager,Business Analyst,Kochi
20,38,12,Female,1292273,Manager,Financial Analyst,Pune
21,19,0,Male,378592,Intern,Marketing Executive,Gurgaon
22,41,12,Male,1269083,Director,Financial Analyst,Mumbai
23,29,9,Female,1009885,Lead,Business Analyst,Mumbai
24,23,4,Female,672692,Junior,Marketing Executive,Gurgaon
25,19,0,Male,375518,Intern,Financial Analyst,Mumbai
26,45,12,Male,1288263,Director,Business Analyst,Kochi
27,38,12,Female,1267754,Manager,Data Scientist,Pune
28,18,0,Female,332550,Intern,Financial Analyst,Hyderabad
29,29,11,Female,1174490,Lead,Data Scientist,Chennai
30,43,12,Female,1305240,Director,Business Analyst,Bangalore
31,39,12,Male,1285229,Manager,Marketing Executive,Gurgaon
32,29,12,Female,1233993,Manager,Marketing Executive,Noida
33,42,12,Female,1310771,Director,Business Analyst,Noida
34,34,12,Male,1267185,Manager,Software Engineer,Indore
35,44,12,Female,1317191,Director,Financial Analyst,Hyderabad
36,44,12,Male,1308115,Director,Software Engineer,Indore
37,27,6,Female,822033,Senior,Financial Analyst,Chennai
38,45,12,Female,1304691,Director,Business Analyst,Bangalore
39,45,12,Male,1290862,Director,Data Scientist,Mumbai
40,33,12,Male,1252356,Manager,Data Scientist,Gurgaon
41,32,12,Female,1262916,Manager,HR Specialist,Kochi
42,32,11,Female,1189397,Lead,Data Scientist,Kochi
43,36,12,Female,1280212,Manager,Financial Analyst,Kochi
44,29,9,Male,1029599,Lead,Software Engineer,Bangalore
45,40,12,Female,1308052,Director,Business Analyst,Chandigarh
46,37,12,Male,1284267,Manager,Financial Analyst,Bangalore
47,42,12,Male,1304960,Director,Software Engineer,Mumbai
48,20,0,Female,338471,Intern,Data Scientist,Hyderabad
49,22,1,Male,447142,Intern,Data Scientist,Noida
50,36,12,Female,1274592,Manager,DevOps Engineer,Pune
