ID,Age,Experience_Years,Gender,Salary,Position,Job_Role,Location
1001,27,6.15,Male,1775000,Lead,Frontend Engineer,Kolkata
1002,24,3.12,Male,1017000,Senior,Backend Engineer,Kolkata
1003,30,9.27,Male,2555000,Lead,Backend Engineer,Pune
1004,30,3.62,Male,1319000,Senior,Frontend Engineer,Gurgaon
1005,37,11.83,Female,3725000,Manager,Frontend Engineer,Gurgaon
1006,28,2.07,Male,493000,Junior,Data Scientist,Hyderabad
1007,21,1.22,Male,508000,Junior,Frontend Engineer,Gurgaon
1008,30,8.19,Male,2555000,Lead,DevOps Engineer,Hyderabad
1009,23,2.32,Male,672000,Junior,Data Scientist,Delhi NCR
1010,27,7.37,Male,2254000,Lead,DevOps Engineer,Hyderabad
1011,45,23.39,Female,9514000,Director,ML Engineer,Noida
1012,26,2.36,Female,458000,Junior,ML Engineer,Bengal
1013,26,2.99,Male,584000,Junior,Backend Engineer,Hyderabad
1014,26,2.2,Male,456000,Junior,SRE,Kolkata
1015,31,6.77,Male,1549000,Senior,DevOps Engineer,Delhi NCR
1016,31,4.81,Female,1332000,Senior,DevOps Engineer,Kolkata
1017,27,3.43,Female,1229000,Senior,Data Scientist,Pune
1018,29,2.88,Female,554000,Junior,QA Engineer,Noida
1019,40,14.03,Male,5287000,Manager,Backend Engineer,Mumbai
1020,36,13.11,Male,8753000,Director,Full Stack Engineer,Pune
1021,37,14.15,Female,8235000,Director,Data Scientist,Kolkata
1022,32,10.28,Female,2886000,Lead,QA Engineer,Noida
1023,24,3.99,Male,1024000,Senior,Data Scientist,Bengal
1024,21,0.63,Female,63000,Intern,QA Engineer,Hyderabad
1025,25,1.71,Female,699000,Junior,SRE,Mumbai
1026,27,7.14,Male,2630000,Lead,ML Engineer,Gurgaon
1027,37,10.04,Male,2949000,Lead,ML Engineer,Delhi NCR
1028,24,0.98,Male,425000,Junior,Full Stack Engineer,Chennai
1029,33,7.6,Female,4068000,Manager,Frontend Engineer,Bengaluru
1030,23,3.06,Female,1211000,Senior,Data Scientist,Pune
1031,33,6.46,Male,1661000,Senior,Backend Engineer,Gurgaon
1032,31,8.73,Female,2227000,Lead,SRE,Pune
1033,26,0.65,Male,437000,Junior,QA Engineer,Bengaluru
1034,30,6.68,Male,1377000,Senior,Frontend Engineer,Pune
1035,23,0.86,Female,60000,Intern,Data Scientist,Bengal
1036,28,4.68,Male,1823000,Senior,DevOps Engineer,Mumbai
1037,21,1.16,Female,590000,Junior,SRE,Delhi NCR
1038,36,12.12,Male,8670000,Director,Frontend Engineer,Hyderabad
1039,25,3.53,Male,1330000,Senior,Data Scientist,Delhi NCR
